Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Age,Item_Fat_Content_NA,Item_Fat_Content_Regular,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
1171,11.8,0.04926717,45.5402,9,1,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
147,18.5,0.045463773,144.1102,8,2,0,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1142,15.1,0.1000135,145.4786,9,1,0,26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
904,17.6,0.047257328,119.6782,8,2,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
375,16.35,0.0680243,196.4426,1,0,2,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
767,9.0,0.069088961,56.3614,8,2,0,28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1280,11.8,0.008596051,115.3492,3,1,2,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
767,9.0,0.069196376,54.3614,9,1,0,26,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,8.26,0.034237682,113.2834,5,1,2,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
968,13.35,0.10249212,230.5352,6,2,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
666,18.85,0.138190277,250.8724,1,0,2,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1076,8.315,0.035399923,144.5444,5,1,2,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1278,14.6,0.025698134,196.5084,6,2,1,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
259,15.5,0.057556998,107.6938,4,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,13.85,0.025896485,165.021,8,2,0,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1294,13.0,0.099887103,45.906,2,2,1,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1024,7.645,0.066693437,42.3112,6,2,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
101,11.65,0.019356132,39.1164,1,0,2,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
350,5.925,0.161466534,45.5086,0,2,2,27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,14.5,0.072221801,43.6454,4,2,0,40,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,19.25,0.170348551,55.7956,0,2,2,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,18.6,0.080829372,96.4436,3,1,2,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
756,18.7,0.050591454,256.6672,3,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
706,17.85,0.051766042,93.1436,7,2,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,17.5,0.097904029,174.8738,8,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1533,10.0,0.089291137,146.7102,9,1,0,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1032,20.2,0.059511812,128.0678,5,1,2,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
143,8.85,0.113123893,122.5388,3,1,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1124,6.385,0.123111453,36.9874,5,1,2,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
214,15.25,0.026480954,87.6198,5,1,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
968,13.35,0.102511504,230.6352,8,2,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
567,9.8,0.02681843,126.002,1,0,2,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
180,13.6,0.117818348,192.9136,9,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
236,21.35,0.069102831,259.9278,3,1,2,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
611,12.15,0.042277867,126.5046,1,0,2,38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
641,6.42,0.089498926,178.1002,0,2,2,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438,19.6,0.037971697,153.3024,7,2,1,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1057,10.0,0.025879577,265.2226,7,2,1,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
586,15.85,0.121632721,60.622,8,2,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
869,10.195,0.255394896,196.8794,4,2,0,40,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378,7.39,0.067779712,143.8812,8,2,0,28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
642,10.195,0.159803853,141.5154,1,0,2,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
830,9.895,0.028696932,117.0492,1,0,2,38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
177,10.895,0.065041581,196.3794,2,2,1,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1442,12.15,0.028760013,151.4708,2,2,1,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
553,7.905,0.010053105,249.0408,3,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1538,9.195,0.048157338,106.1622,7,2,1,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
107,8.365,0.071958197,38.0506,9,1,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1183,15.1,0.173481304,194.511,8,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
485,5.94,0.061082177,180.0344,4,2,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,10.0,0.049520593,246.9144,3,1,2,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1039,7.97,0.040071131,87.3514,7,2,1,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
361,6.215,0.012090074,38.2848,5,1,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1199,15.5,0.15028599,51.0692,4,2,0,40,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,17.5,0.026015519,255.8356,5,1,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
266,17.7,0.195068226,185.4266,0,2,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
441,19.35,0.033082215,172.5738,6,2,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1218,13.65,0.078946455,186.024,7,2,1,23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,17.6,0.041700756,164.8526,7,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1343,8.645,0.143422643,95.841,8,2,0,28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
541,15.6,0.105296072,170.1764,8,2,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
586,15.85,0.121531501,59.222,1,0,2,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
453,18.25,0.0540142745,164.7526,7,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
394,7.855,0.011324862,189.6188,2,2,1,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1552,7.825,0.186357148,254.3698,9,1,0,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
254,8.39,0.024205661,114.0176,8,2,0,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
781,12.85,0.033230816,172.3422,9,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
682,13.35,0.113720344,89.9804,4,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,19.0,0.112556507,104.9622,2,2,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1037,5.905,0.0507285155,222.5456,7,2,1,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
316,7.76,0.059352241,101.87,8,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
656,11.8,0.014087057,180.3344,8,2,0,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1053,16.75,0.045230944,187.9556,3,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1379,18.85,0.293417759,194.6136,4,2,0,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
829,12.6,0.031382044,171.3764,5,1,2,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
404,15.5,0.12639886,177.0028,2,2,1,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1258,6.055,0.025403898,160.992,6,2,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
811,20.2,0.039057677,155.963,5,1,2,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
674,6.305,0.123115764,95.6436,8,2,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
670,20.85,0.039624006,117.2808,9,1,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1082,20.75,0.040421193,122.173,0,2,2,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,8.895,0.105274111,39.9138,9,1,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,19.6,0.033970195,55.1614,7,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
178,19.7,0.053212652,57.893,6,2,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1468,9.8,0.024378706,114.5492,6,2,1,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
970,7.93,0.009714595,120.0414,4,2,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
382,12.15,0.131383762,246.046,9,1,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
231,8.75,0.07461309,187.4556,6,2,1,21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1442,12.15,0.028459761,149.9708,5,1,2,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
231,8.75,0.074627201,187.8556,8,2,0,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
940,13.3,0.063695084,151.0708,7,2,1,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
284,20.6,0.045797829,178.5344,5,1,2,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1113,8.31,0.115857223,179.1028,9,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7,16.75,0.024832806,38.7822,1,0,2,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
737,19.75,0.034027909,212.0902,3,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
438,17.1,0.0467696,141.1838,1,0,2,38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
181,10.5,0.116576702,163.121,1,0,2,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
400,6.635,0.06031277,121.3098,7,2,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,9.395,0.278974075,225.372,4,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,14.15,0.035913805,41.4138,1,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
279,13.3,0.079806266,232.53,8,2,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
910,8.89,0.005505481,102.4016,2,2,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1099,6.69,0.064625342,176.937,4,2,0,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1144,6.195,0.071636937,121.7098,5,1,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1025,9.1,0.051766042,173.2054,7,2,1,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
288,7.5,0.032677678,239.0906,9,1,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1228,16.85,0.160760054,192.4478,2,2,1,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1251,7.485,0.06911065,109.0228,6,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,11.6,0.041177505,140.3154,2,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1213,11.65,0.040081193,227.0694,3,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1317,13.0,0.035307322,47.5034,2,2,1,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
91,12.65,0.063017847,159.0578,7,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
200,20.25,0.171938781,92.512,0,2,2,27,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,8.6,0.040197932,190.153,6,2,1,21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1075,12.6,0.049058014,62.7194,2,2,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
605,17.7,0.01161096,95.041,6,2,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
86,14.15,0.183507295,82.4276,8,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1048,19.25,0.102349519,52.7956,2,2,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,8.88,0.086708987,151.7682,1,0,2,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1444,20.5,0.032835147,40.2822,7,2,1,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1186,12.0,0.033809913,180.5976,5,1,2,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1340,13.5,0.07266912,160.292,8,2,0,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1476,12.15,0.144338493,224.4404,5,1,2,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
910,8.89,0.009163216,101.7016,0,2,2,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
394,7.855,0.011307038,188.5188,3,1,2,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1428,7.235,0.076855628,116.0492,8,2,0,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
453,18.25,0.059956876,165.4526,5,1,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
228,6.92,0.038532062,60.5852,7,2,1,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1152,9.3,0.043209581,90.8172,2,2,1,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1407,18.5,0.056816465,132.1284,0,2,2,27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1289,8.02,0.019866705,154.5972,6,2,1,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1538,9.195,0.048331717,105.1622,2,2,1,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1436,12.8,0.091221855,105.5938,7,2,1,23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1288,16.6,0.027622076,177.6344,9,1,0,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
479,14.0,0.06335837899999999,53.064,6,2,1,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
743,18.6,0.039355947,246.3802,9,1,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
198,16.0,0.060836524,226.8404,6,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1274,17.6,0.082316506,160.692,6,2,1,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
179,21.25,0.155350299,178.237,6,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1428,7.235,0.076841095,117.5492,6,2,1,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
94,14.6,0.151419185,50.3692,2,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
843,13.85,0.026001976,161.521,3,1,2,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
470,13.65,0.073209447,197.6426,3,1,2,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
104,9.5,0.041683481,31.29,5,1,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1132,7.365,0.042560252,226.172,8,2,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1344,18.35,0.014081156,223.5746,3,1,2,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
216,5.465,0.050825481000000006,132.5626,3,1,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
661,18.6,0.152918384,99.8358,2,2,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,13.85,0.030969274,140.9154,2,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
797,14.0,0.060376776,154.5656,1,0,2,38,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
631,14.0,0.04192285,54.764,1,0,2,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
824,21.35,0.077367431,97.0094,5,1,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1037,5.905,0.045838211,222.5456,3,1,2,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,7.27,0.071077939,114.2518,8,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1109,6.155,0.094659871,214.556,8,2,0,28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
113,19.5,0.077608838,233.4958,2,2,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
750,15.2,0.021327477,216.8824,2,2,1,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
611,12.15,0.042485444,125.0046,3,1,2,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1278,14.6,0.025578526,198.8084,5,1,2,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1075,12.6,0.0489808,61.9194,3,1,2,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1401,14.5,0.019471688,164.821,6,2,1,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
568,16.6,0.122918852,173.0738,2,2,1,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
627,11.8,0.057373797,151.4366,1,0,2,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
892,13.1,0.044155597,178.8318,1,0,2,38,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
488,17.7,0.291865402,115.1834,0,2,2,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
857,17.85,0.091195818,196.5794,0,2,2,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,12.3,0.064750025,92.6804,7,2,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1499,11.8,0.098312421,81.4618,0,2,2,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,9.395,0.191013663,42.1112,4,2,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
707,11.1,0.176573035,157.4604,7,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
797,14.0,0.060134441,153.0656,5,1,2,40,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1049,11.3,0.007294652,198.1426,7,2,1,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1426,10.0,0.128478462,117.944,4,2,0,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1008,5.75,0.075107656,112.8176,1,0,2,38,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
926,6.215,0.049381406,226.8062,5,1,2,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
578,11.35,0.045165796,100.0016,3,1,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
694,11.1,0.09415375,165.7526,4,2,0,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1523,14.0,0.028907832,130.431,9,1,0,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
319,19.75,0.018059621,179.766,7,2,1,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1277,6.525,0.090436094,85.0882,9,1,0,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1029,10.3,0.146399712,103.9648,9,1,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
616,5.78,0.074264356,264.7568,9,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
150,11.85,0.050186726,164.1526,7,2,1,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
951,16.35,0.020631654,50.1324,3,1,2,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1530,17.6,0.01561108,182.5976,5,1,2,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
932,10.5,0.041395445,37.6164,8,2,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
221,19.0,0.097313129,48.0718,8,2,0,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1420,14.6,0.059582996,238.8538,9,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
343,15.6,0.098663652,62.9194,5,1,2,40,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1157,4.615,0.101338651,232.63,5,1,2,40,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1402,18.75,0.052146456,104.628,7,2,1,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
340,5.26,0.041764487,161.8868,6,2,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
688,18.25,0.054344186,140.2154,7,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
484,10.3,0.078362484,177.937,5,1,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
